name,longitude,latitude,coordinateUncertaintyInMeters,country
"Leopardus wiedii (Schinz, 1821)",-80.842065,-1.003376,31448,Ecuador
"Leopardus wiedii (Schinz, 1821)",-80.860831,-1.001842,31448,Ecuador
"Leopardus wiedii (Schinz, 1821)",-78.660357,0.280178,31451,Ecuador
"Leopardus wiedii (Schinz, 1821)",-52.69158,2.8679,5000,French Guiana
"Leopardus wiedii (Schinz, 1821)",-53.92503,3.56895,5000,French Guiana
"Leopardus wiedii (Schinz, 1821)",-54.19608,3.92936,5000,French Guiana
"Leopardus wiedii (Schinz, 1821)",-54.3208,4.02241,50,French Guiana
"Leopardus wiedii (Schinz, 1821)",-53.3883,4.5648,5000,French Guiana
"Leopardus wiedii (Schinz, 1821)",-88.777724,14.421433,30954,Honduras
"Leopardus wiedii (Schinz, 1821)",-88.769604,14.440098,30954,Honduras
"Leopardus wiedii (Schinz, 1821)",-88.723413,14.472625,30954,Honduras
"Leopardus wiedii (Schinz, 1821)",-88.533478,14.791599,30941,Honduras
"Leopardus wiedii (Schinz, 1821)",-92.820929,15.657665,30870,Mexico
"Leopardus wiedii (Schinz, 1821)",-92.91384,15.693414,30870,Mexico
"Leopardus wiedii (Schinz, 1821)",-92.975667,15.712046,30870,Mexico
"Leopardus wiedii (Schinz, 1821)",-93.041562,15.850559,30855,Mexico
"Leopardus wiedii (Schinz, 1821)",-93.564318,15.854329,30855,Mexico
"Leopardus wiedii (Schinz, 1821)",-92.988378,15.881588,30855,Mexico
"Leopardus wiedii (Schinz, 1821)",-92.84372,15.951151,30855,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.47963,15.95352,30855,Mexico
"Leopardus wiedii (Schinz, 1821)",-90.977771,16.115878,30841,Mexico
"Leopardus wiedii (Schinz, 1821)",-90.844525,16.131045,30841,Mexico
"Leopardus wiedii (Schinz, 1821)",-93.462994,16.147484,30841,Mexico
"Leopardus wiedii (Schinz, 1821)",-93.475471,16.155643,30841,Mexico
"Leopardus wiedii (Schinz, 1821)",-93.468287,16.317282,30826,Mexico
"Leopardus wiedii (Schinz, 1821)",-93.76192,16.847472,30780,Mexico
"Leopardus wiedii (Schinz, 1821)",-93.749471,16.894306,30780,Mexico
"Leopardus wiedii (Schinz, 1821)",-93.530115,16.927618,30780,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.662446,17.003442,30764,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.432369,17.03451,30764,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.688169,17.042266,30764,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.567055,17.060571,30764,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.292442,17.136961,30764,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.68078,17.141641,30764,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.625715,17.158447,30764,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.618103,17.199452,30764,Mexico
"Leopardus wiedii (Schinz, 1821)",-91.259909,17.251833,30748,Mexico
"Leopardus wiedii (Schinz, 1821)",-91.204342,17.288068,30748,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.045924,17.321967,30748,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.058136,17.396624,30748,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.616815,17.445031,30732,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.069509,17.569757,30732,Mexico
"Leopardus wiedii (Schinz, 1821)",-92.161464,17.650629,30716,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.463782,17.66055,30716,Mexico
"Leopardus wiedii (Schinz, 1821)",-98.148837,17.735778,30716,Mexico
"Leopardus wiedii (Schinz, 1821)",-97.938611,17.750029,30716,Mexico
"Leopardus wiedii (Schinz, 1821)",-97.902152,17.789868,30716,Mexico
"Leopardus wiedii (Schinz, 1821)",-98.627466,18.349075,30666,Mexico
"Leopardus wiedii (Schinz, 1821)",-94.861815,18.466799,30649,Mexico
"Leopardus wiedii (Schinz, 1821)",-94.926339,18.570816,30649,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.841179,19.211219,30580,Mexico
"Leopardus wiedii (Schinz, 1821)",-100.548011,19.328774,30580,Mexico
"Leopardus wiedii (Schinz, 1821)",-90.415654,19.725518,30545,Mexico
"Leopardus wiedii (Schinz, 1821)",-96.53689,19.890191,30527,Mexico
"Leopardus wiedii (Schinz, 1821)",-87.630752,20.469322,30472,Mexico
"Leopardus wiedii (Schinz, 1821)",-88.184897,20.568546,30472,Mexico
"Leopardus wiedii (Schinz, 1821)",-87.298271,20.573124,30472,Mexico
"Leopardus wiedii (Schinz, 1821)",-103.492681,20.768668,30453,Mexico
"Leopardus wiedii (Schinz, 1821)",-89.343966,21.070404,30415,Mexico
"Leopardus wiedii (Schinz, 1821)",-104.008794,21.164156,30415,Mexico
"Leopardus wiedii (Schinz, 1821)",-104.975674,21.228968,30396,Mexico
"Leopardus wiedii (Schinz, 1821)",-99.974894,21.253732,30396,Mexico
"Leopardus wiedii (Schinz, 1821)",-100.151773,21.281401,30396,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.169679,21.555596,30377,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.548325,22.63922,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.44201,22.660218,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.442963,22.693903,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.593265,22.711864,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.428777,22.725282,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.562969,22.733176,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.588658,22.748522,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.57203,22.759471,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-98.080538,22.75956,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.563662,22.768192,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.407216,22.770709,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.509536,22.790629,30258,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.881645,23.21753,30196,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.851102,23.229467,30196,Mexico
"Leopardus wiedii (Schinz, 1821)",-106.301775,23.266081,30196,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.897208,23.318015,30196,Mexico
"Leopardus wiedii (Schinz, 1821)",-106.067353,23.319714,30196,Mexico
"Leopardus wiedii (Schinz, 1821)",-105.904288,23.377883,30196,Mexico
"Leopardus wiedii (Schinz, 1821)",-106.697461,23.648493,30154,Mexico
"Leopardus wiedii (Schinz, 1821)",-82.322205,8.746012,31271,Panama
"Leopardus wiedii (Schinz, 1821)",-79.394786,9.245972,31245,Panama
"Leopardus wiedii (Schinz, 1821)",-79.368365,9.397465,31245,Panama
"Leopardus wiedii (Schinz, 1821)",-70.043596,-12.470303,31081,Peru
"Leopardus wiedii (Schinz, 1821)",-55.22073,4.91675,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.22073,4.91675,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.22016,4.92541,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.22016,4.92541,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.19005,4.9267,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.19005,4.9267,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.20847,4.92955,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.21643,4.93047,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.21643,4.93047,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.21643,4.93047,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.21643,4.93047,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.2008,4.93257,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.2008,4.93257,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.2008,4.93257,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.2008,4.93257,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.2008,4.93257,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.2008,4.93257,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.20078,4.93534,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.19525,4.9356,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.19525,4.9356,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.19525,4.9356,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.19525,4.9356,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.19525,4.9356,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.19525,4.9356,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18997,4.94075,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18997,4.94075,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18997,4.94075,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17804,4.94522,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17804,4.94522,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17804,4.94522,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17804,4.94522,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17804,4.94522,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18953,4.94698,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18953,4.94698,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18953,4.94698,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18953,4.94698,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18555,4.94779,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18555,4.94779,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18555,4.94779,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18555,4.94779,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18555,4.94779,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18555,4.94779,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18555,4.94779,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17649,4.95118,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17649,4.95118,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17649,4.95118,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17649,4.95118,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17649,4.95118,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17649,4.95118,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18443,4.9517,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18443,4.9517,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.18928,4.95366,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17911,4.95858,30,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17911,4.95858,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17911,4.95858,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-55.17911,4.95858,NA,Suriname
"Leopardus wiedii (Schinz, 1821)",-89.355932,14.381144,30968,El Salvador
"Leopardus wiedii (Schinz, 1821)",-54.6439,-34.514471,28818,Uruguay
"Leopardus wiedii (Schinz, 1821)",-55.216484,-34.404839,28818,Uruguay
"Leopardus wiedii (Schinz, 1821)",-53.646323,-33.801381,28902,Uruguay
"Leopardus wiedii (Schinz, 1821)",-61.166878,5.404024,31379,"Venezuela, Bolivarian Republic of"
